category,city,experienceLevel,price
Programming & Tech,Msc,4,931.0
Programming & Tech,Msc,9,577.0
Programming & Tech,SPb,1,170.0
Business,Nvsk,4,720.0
Programming & Tech,Msc,1,370.0
Programming & Tech,Msc,8,466.0
Programming & Tech,Msc,7,803.0
Programming & Tech,SPb,7,418.0
Digital Marketing,Krsk,9,569.0
Programming & Tech,Msc,0,1051.0
Writing & Translation,NNov,8,1080.0
Programming & Tech,Msc,2,170.0
Music & Audio,Mmk,6,999.0
Programming & Tech,Msc,7,152.0
Programming & Tech,SPb,1,447.0
Programming & Tech,Msc,5,838.0
Lifestyle,Nov,9,531.0
Video & Animation,Vlc,5,972.0
Programming & Tech,SPb,2,1039.0
Programming & Tech,Msc,8,267.0
Programming & Tech,Msc,8,928.0
Programming & Tech,Msc,8,285.0
Business,Nvsk,0,637.0
Music & Audio,Mmk,7,682.0
Video & Animation,Vlc,7,482.0
Music & Audio,Mmk,8,325.0
Programming & Tech,Msc,5,507.0
Programming & Tech,Msc,0,285.0
Programming & Tech,Msc,0,1085.0
Writing & Translation,NNov,6,226.0
Music & Audio,Mmk,5,324.0
Lifestyle,Nov,5,627.0
Programming & Tech,SPb,5,1028.0
Lifestyle,Nov,0,629.0
Digital Marketing,Krsk,3,487.0
Programming & Tech,Msc,4,729.0
Programming & Tech,Msc,5,748.0
Music & Audio,Mmk,3,1099.0
Programming & Tech,Msc,1,393.0
Programming & Tech,Msc,8,322.0
Lifestyle,Nov,4,483.0
Programming & Tech,Msc,0,537.0
Music & Audio,Mmk,5,288.0
Programming & Tech,Msc,3,330.0
Programming & Tech,Msc,3,698.0
Programming & Tech,Msc,6,266.0
Programming & Tech,Msc,8,130.0
Programming & Tech,Msc,9,809.0
Writing & Translation,NNov,9,226.0
Programming & Tech,Msc,8,533.0
Programming & Tech,Msc,4,586.0
Programming & Tech,Msc,4,166.0
Music & Audio,Mmk,8,159.0
Lifestyle,Nov,6,919.0
Writing & Translation,NNov,5,707.0
Business,Nvsk,4,917.0
Digital Marketing,Krsk,1,270.0
Programming & Tech,Msc,9,690.0
Programming & Tech,Msc,2,223.0
Programming & Tech,Msc,2,101.0
Music & Audio,Mmk,6,601.0
Programming & Tech,Msc,4,687.0
Digital Marketing,Krsk,9,565.0
Programming & Tech,Msc,8,898.0
Programming & Tech,Msc,7,215.0
Digital Marketing,Krsk,3,496.0
Programming & Tech,Msc,2,1057.0
Digital Marketing,Krsk,5,276.0
Programming & Tech,Msc,3,859.0
Lifestyle,Nov,0,628.0
Programming & Tech,Msc,5,289.0
Programming & Tech,SPb,8,465.0
Programming & Tech,Msc,5,608.0
Programming & Tech,Msc,5,259.0
Writing & Translation,NNov,1,541.0
Lifestyle,Nov,7,522.0
Programming & Tech,Msc,4,855.0
Programming & Tech,Msc,9,750.0
Video & Animation,Vlc,1,950.0
Programming & Tech,Msc,1,407.0
Music & Audio,Mmk,0,613.0
Programming & Tech,Msc,3,477.0
Programming & Tech,Msc,6,735.0
Video & Animation,Vlc,1,907.0
Programming & Tech,Msc,7,832.0
Programming & Tech,SPb,9,103.0
Programming & Tech,Msc,8,552.0
Business,Nvsk,4,473.0
Lifestyle,Nov,1,679.0
Programming & Tech,Msc,3,872.0
Programming & Tech,Msc,1,676.0
Programming & Tech,Msc,6,720.0
Digital Marketing,Krsk,5,430.0
Programming & Tech,SPb,4,912.0
Programming & Tech,Msc,4,808.0
Writing & Translation,NNov,1,381.0
Programming & Tech,Msc,3,1074.0
Lifestyle,Nov,4,1064.0
Programming & Tech,Msc,9,981.0
Programming & Tech,SPb,2,1078.0
Programming & Tech,Msc,0,1086.0
Music & Audio,Mmk,2,109.0
Programming & Tech,Msc,1,1063.0
Lifestyle,Nov,5,806.0
Programming & Tech,Msc,5,934.0
Programming & Tech,Msc,3,781.0
Programming & Tech,Msc,3,490.0
Digital Marketing,Krsk,7,419.0
Programming & Tech,Msc,2,946.0
Programming & Tech,SPb,9,384.0
Programming & Tech,Msc,6,620.0
Programming & Tech,Msc,7,526.0
Writing & Translation,NNov,8,140.0
Programming & Tech,Msc,8,577.0
Digital Marketing,Krsk,0,382.0
Video & Animation,Vlc,3,515.0
Video & Animation,Vlc,3,768.0
Programming & Tech,Msc,0,389.0
Programming & Tech,Msc,7,830.0
Programming & Tech,Msc,6,500.0
Lifestyle,Nov,3,711.0
Programming & Tech,Msc,9,531.0
Programming & Tech,Msc,2,155.0
Lifestyle,Nov,4,600.0
Video & Animation,Vlc,7,235.0
Business,Nvsk,9,1070.0
Programming & Tech,Msc,5,698.0
Digital Marketing,Krsk,1,555.0
Programming & Tech,Msc,1,692.0
Programming & Tech,SPb,6,494.0
Programming & Tech,Msc,8,481.0
Music & Audio,Mmk,9,552.0
Programming & Tech,Msc,3,313.0
Business,Nvsk,7,454.0
Programming & Tech,Msc,4,369.0
Writing & Translation,NNov,3,490.0
Programming & Tech,SPb,1,886.0
Lifestyle,Nov,3,794.0
Lifestyle,Nov,7,851.0
Programming & Tech,Msc,4,1026.0
Digital Marketing,Krsk,8,665.0
Programming & Tech,Msc,3,403.0
Programming & Tech,Msc,0,847.0
Lifestyle,Nov,3,417.0
Music & Audio,Mmk,7,784.0
Music & Audio,Mmk,7,640.0
Programming & Tech,Msc,4,363.0
Programming & Tech,Msc,8,748.0
Programming & Tech,SPb,6,724.0
Digital Marketing,Krsk,1,360.0
Writing & Translation,NNov,3,106.0
Programming & Tech,SPb,3,977.0
Programming & Tech,Msc,8,623.0
Programming & Tech,Msc,3,1071.0
Programming & Tech,Msc,6,640.0
Programming & Tech,SPb,1,961.0
Programming & Tech,Msc,0,1042.0
Programming & Tech,Msc,8,876.0
Programming & Tech,Msc,2,603.0
Programming & Tech,Msc,3,225.0
Music & Audio,Mmk,0,258.0
Programming & Tech,Msc,2,611.0
Programming & Tech,SPb,5,913.0
Programming & Tech,Msc,2,364.0
Programming & Tech,Msc,5,742.0
Music & Audio,Mmk,9,391.0
Programming & Tech,Msc,0,802.0
Business,Nvsk,5,664.0
Programming & Tech,Msc,6,964.0
Programming & Tech,Msc,0,246.0
Writing & Translation,NNov,2,130.0
Programming & Tech,Msc,2,588.0
Programming & Tech,Msc,4,708.0
Video & Animation,Vlc,2,206.0
Programming & Tech,Msc,4,929.0
Lifestyle,Nov,7,948.0
Music & Audio,Mmk,8,768.0
Digital Marketing,Krsk,8,113.0
Programming & Tech,Msc,3,778.0
Programming & Tech,Msc,2,616.0
Music & Audio,Mmk,4,467.0
Music & Audio,Mmk,4,476.0
Programming & Tech,Msc,0,269.0
Programming & Tech,Msc,1,110.0
Programming & Tech,Msc,9,489.0
Programming & Tech,Msc,6,926.0
Video & Animation,Vlc,0,406.0
Programming & Tech,Msc,1,519.0
Digital Marketing,Krsk,7,315.0
Business,Nvsk,3,516.0
Writing & Translation,NNov,7,115.0
Lifestyle,Nov,0,776.0
Programming & Tech,Msc,0,410.0
Programming & Tech,Msc,9,173.0
Digital Marketing,Krsk,4,398.0
Programming & Tech,Msc,9,955.0
Writing & Translation,NNov,8,198.0
Programming & Tech,Msc,1,161.0
Programming & Tech,Msc,7,553.0
Programming & Tech,Msc,1,951.0
Digital Marketing,Krsk,7,735.0
Writing & Translation,NNov,8,657.0
Digital Marketing,Krsk,1,593.0
Business,Nvsk,9,560.0
Business,Nvsk,5,513.0
Business,Nvsk,0,797.0
Music & Audio,Mmk,1,748.0
Business,Nvsk,6,593.0
Programming & Tech,Msc,9,848.0
Video & Animation,Vlc,3,486.0
Programming & Tech,Msc,4,253.0
Programming & Tech,Msc,9,331.0
Digital Marketing,Krsk,4,414.0
Programming & Tech,SPb,2,942.0
Business,Nvsk,8,559.0
Programming & Tech,Msc,7,697.0
Programming & Tech,Msc,0,333.0
Digital Marketing,Krsk,0,372.0
Music & Audio,Mmk,2,819.0
Programming & Tech,Msc,5,803.0
Writing & Translation,NNov,0,417.0
Programming & Tech,Msc,3,752.0
Programming & Tech,Msc,7,123.0
Programming & Tech,Msc,6,909.0
Programming & Tech,Msc,0,809.0
Programming & Tech,Msc,5,1055.0
Programming & Tech,Msc,5,120.0
Programming & Tech,Msc,1,102.0
Programming & Tech,Msc,2,1010.0
Video & Animation,Vlc,1,906.0
Programming & Tech,Msc,4,1055.0
Programming & Tech,Msc,7,100.0
Programming & Tech,Msc,2,210.0
Video & Animation,Vlc,7,306.0
Video & Animation,Vlc,1,194.0
Programming & Tech,Msc,6,1051.0
Programming & Tech,Msc,1,522.0
Programming & Tech,Msc,1,147.0
Programming & Tech,Msc,7,643.0
Lifestyle,Nov,5,898.0
Programming & Tech,Msc,9,811.0
Programming & Tech,Msc,4,589.0
Lifestyle,Nov,0,384.0
Programming & Tech,Msc,3,387.0
Programming & Tech,Msc,9,828.0
Music & Audio,Mmk,9,1057.0
Digital Marketing,Krsk,3,314.0
Programming & Tech,SPb,9,549.0
Video & Animation,Vlc,7,268.0
Programming & Tech,Msc,9,754.0
Programming & Tech,Msc,9,170.0
Programming & Tech,Msc,7,225.0
Programming & Tech,Msc,1,195.0
Programming & Tech,Msc,9,816.0
Music & Audio,Mmk,5,1065.0
Programming & Tech,Msc,5,578.0
Music & Audio,Mmk,1,381.0
Programming & Tech,Msc,2,252.0
Digital Marketing,Krsk,4,277.0
Programming & Tech,SPb,4,1022.0
Music & Audio,Mmk,8,104.0
Programming & Tech,Msc,8,407.0
Programming & Tech,Msc,4,463.0
Music & Audio,Mmk,4,947.0
Programming & Tech,Msc,4,932.0
Writing & Translation,NNov,8,612.0
Programming & Tech,SPb,8,857.0
Programming & Tech,Msc,6,492.0
Programming & Tech,Msc,2,462.0
Programming & Tech,Msc,7,277.0
Music & Audio,Mmk,9,218.0
Programming & Tech,Msc,0,866.0
Video & Animation,Vlc,0,563.0
Digital Marketing,Krsk,7,827.0
Programming & Tech,Msc,3,332.0
Programming & Tech,Msc,1,500.0
Programming & Tech,Msc,7,810.0
Programming & Tech,Msc,9,1040.0
Programming & Tech,Msc,8,311.0
Lifestyle,Nov,5,1007.0
Music & Audio,Mmk,2,596.0
Programming & Tech,Msc,4,945.0
Programming & Tech,Msc,8,136.0
Programming & Tech,Msc,7,889.0
Programming & Tech,Msc,2,626.0
Programming & Tech,Msc,9,794.0
Programming & Tech,Msc,9,571.0
Digital Marketing,Krsk,1,156.0
Programming & Tech,SPb,8,451.0
Video & Animation,Vlc,9,150.0
Video & Animation,Vlc,3,549.0
Digital Marketing,Krsk,7,977.0
Programming & Tech,Msc,1,876.0
Programming & Tech,Msc,7,1033.0
Programming & Tech,Msc,0,241.0
Programming & Tech,Msc,1,644.0
Programming & Tech,Msc,4,418.0
Programming & Tech,Msc,5,309.0
Programming & Tech,SPb,8,445.0
Programming & Tech,Msc,1,965.0
Lifestyle,Nov,5,416.0
Video & Animation,Vlc,7,952.0
Business,Nvsk,4,548.0
Programming & Tech,Msc,6,1045.0
Business,Nvsk,3,426.0
Programming & Tech,Msc,7,275.0
Programming & Tech,Msc,9,981.0
Business,Nvsk,2,924.0
Programming & Tech,Msc,1,362.0
Programming & Tech,Msc,5,168.0
Programming & Tech,SPb,2,411.0
Music & Audio,Mmk,0,478.0
Programming & Tech,Msc,0,722.0
Business,Nvsk,8,814.0
Programming & Tech,Msc,3,594.0
Programming & Tech,Msc,7,611.0
Digital Marketing,Krsk,3,211.0
Business,Nvsk,7,604.0
Business,Nvsk,8,857.0
Programming & Tech,Msc,5,682.0
Programming & Tech,Msc,1,779.0
Programming & Tech,Msc,0,1040.0
Programming & Tech,Msc,4,119.0
Programming & Tech,Msc,7,393.0
Programming & Tech,Msc,3,192.0
Writing & Translation,NNov,3,945.0
Programming & Tech,Msc,2,700.0
Programming & Tech,Msc,5,525.0
Music & Audio,Mmk,6,1088.0
Lifestyle,Nov,1,568.0
Digital Marketing,Krsk,4,606.0
Business,Nvsk,8,1083.0
Business,Nvsk,1,604.0
Programming & Tech,SPb,9,364.0
Business,Nvsk,1,406.0
Business,Nvsk,4,1045.0
Programming & Tech,SPb,7,387.0
Programming & Tech,Msc,6,196.0
Digital Marketing,Krsk,9,813.0
Programming & Tech,Msc,1,621.0
Programming & Tech,Msc,6,276.0
Programming & Tech,Msc,7,669.0
Lifestyle,Nov,5,647.0
Music & Audio,Mmk,3,384.0
Programming & Tech,Msc,8,284.0
Business,Nvsk,1,1034.0
Programming & Tech,Msc,9,248.0
Writing & Translation,NNov,0,808.0
Programming & Tech,Msc,9,534.0
Video & Animation,Vlc,9,1018.0
Programming & Tech,Msc,7,1001.0
Programming & Tech,Msc,9,488.0
Digital Marketing,Krsk,2,922.0
Programming & Tech,Msc,7,738.0
Programming & Tech,Msc,2,926.0
Programming & Tech,Msc,3,540.0
Video & Animation,Vlc,1,843.0
Programming & Tech,Msc,9,184.0
Programming & Tech,Msc,0,557.0
Digital Marketing,Krsk,7,219.0
Programming & Tech,Msc,9,297.0
Programming & Tech,SPb,0,1056.0
Programming & Tech,SPb,1,331.0
Digital Marketing,Krsk,6,506.0
Programming & Tech,Msc,4,419.0
Programming & Tech,Msc,2,839.0
Programming & Tech,Msc,8,616.0
Programming & Tech,Msc,3,319.0
Programming & Tech,Msc,1,101.0
Lifestyle,Nov,6,807.0
Programming & Tech,SPb,4,244.0
Video & Animation,Vlc,8,843.0
Programming & Tech,Msc,7,195.0
Lifestyle,Nov,0,1000.0
Digital Marketing,Krsk,7,900.0
Digital Marketing,Krsk,1,108.0
Programming & Tech,Msc,3,788.0
Lifestyle,Nov,7,804.0
Programming & Tech,Msc,1,637.0
Programming & Tech,Msc,6,296.0
Writing & Translation,NNov,4,882.0
Lifestyle,Nov,9,1083.0
Programming & Tech,SPb,0,601.0
Programming & Tech,Msc,9,343.0
Programming & Tech,Msc,3,362.0
Programming & Tech,Msc,0,1078.0
Programming & Tech,Msc,2,732.0
Programming & Tech,Msc,7,656.0
Video & Animation,Vlc,5,437.0
Programming & Tech,Msc,7,952.0
Programming & Tech,SPb,6,940.0
Programming & Tech,Msc,5,230.0
Programming & Tech,Msc,9,567.0
Lifestyle,Nov,2,584.0
Programming & Tech,Msc,7,378.0
Programming & Tech,Msc,3,553.0
Programming & Tech,Msc,8,510.0
Programming & Tech,Msc,6,820.0
Programming & Tech,Msc,6,1074.0
Programming & Tech,Msc,5,128.0
Programming & Tech,Msc,5,598.0
Lifestyle,Nov,3,116.0
Music & Audio,Mmk,5,655.0
Programming & Tech,Msc,4,778.0
Programming & Tech,Msc,3,267.0
Programming & Tech,Msc,1,892.0
Lifestyle,Nov,4,560.0
Programming & Tech,Msc,5,228.0
Video & Animation,Vlc,2,439.0
Programming & Tech,Msc,9,945.0
Business,Nvsk,7,843.0
Programming & Tech,Msc,4,645.0
Programming & Tech,SPb,6,891.0
Programming & Tech,SPb,5,260.0
Video & Animation,Vlc,0,534.0
Programming & Tech,Msc,9,965.0
Programming & Tech,Msc,6,522.0
Programming & Tech,Msc,7,910.0
Digital Marketing,Krsk,1,963.0
Video & Animation,Vlc,4,114.0
Lifestyle,Nov,3,654.0
Business,Nvsk,6,394.0
Programming & Tech,Msc,9,1071.0
Programming & Tech,Msc,2,892.0
Programming & Tech,Msc,8,244.0
Programming & Tech,Msc,7,407.0
Business,Nvsk,4,469.0
Programming & Tech,Msc,6,819.0
Video & Animation,Vlc,5,903.0
Digital Marketing,Krsk,8,1012.0
Digital Marketing,Krsk,7,764.0
Programming & Tech,SPb,4,970.0
Programming & Tech,Msc,3,868.0
Programming & Tech,Msc,2,978.0
Video & Animation,Vlc,5,286.0
Music & Audio,Mmk,1,1042.0
Programming & Tech,Msc,5,257.0
Business,Nvsk,6,463.0
Lifestyle,Nov,8,510.0
Programming & Tech,Msc,7,450.0
Writing & Translation,NNov,0,394.0
Lifestyle,Nov,0,679.0
Lifestyle,Nov,0,107.0
Programming & Tech,Msc,6,378.0
Programming & Tech,Msc,4,240.0
Programming & Tech,Msc,8,399.0
Programming & Tech,Msc,1,1027.0
Business,Nvsk,5,503.0
Programming & Tech,Msc,9,791.0
Programming & Tech,Msc,2,417.0
Writing & Translation,NNov,1,223.0
Programming & Tech,Msc,1,772.0
Programming & Tech,Msc,8,362.0
Programming & Tech,Msc,6,264.0
Writing & Translation,NNov,4,1017.0
Music & Audio,Mmk,3,737.0
Lifestyle,Nov,6,327.0
Business,Nvsk,1,154.0
Writing & Translation,NNov,8,143.0
Digital Marketing,Krsk,7,268.0
Business,Nvsk,6,300.0
Digital Marketing,Krsk,1,328.0
Writing & Translation,NNov,2,870.0
Lifestyle,Nov,5,1080.0
Business,Nvsk,5,555.0
Programming & Tech,Msc,3,935.0
Video & Animation,Vlc,2,1029.0
Digital Marketing,Krsk,7,329.0
Video & Animation,Vlc,2,461.0
Programming & Tech,Msc,3,487.0
Writing & Translation,NNov,3,836.0
Video & Animation,Vlc,5,837.0
Programming & Tech,Msc,8,219.0
Programming & Tech,Msc,6,600.0
Programming & Tech,Msc,8,806.0
Music & Audio,Mmk,2,155.0
Business,Nvsk,7,555.0
Digital Marketing,Krsk,8,761.0
Video & Animation,Vlc,3,438.0
Programming & Tech,SPb,1,1055.0
Programming & Tech,Msc,1,775.0
Programming & Tech,Msc,3,738.0
Business,Nvsk,1,863.0
Programming & Tech,Msc,6,206.0
Programming & Tech,Msc,6,453.0
Programming & Tech,Msc,9,858.0
Programming & Tech,Msc,9,376.0
Video & Animation,Vlc,7,838.0
Programming & Tech,Msc,0,1025.0
Programming & Tech,Msc,8,888.0
Programming & Tech,Msc,5,728.0
Programming & Tech,Msc,0,630.0
Programming & Tech,Msc,0,975.0
Programming & Tech,Msc,3,392.0
Programming & Tech,Msc,9,915.0
Digital Marketing,Krsk,9,1038.0
Programming & Tech,Msc,0,620.0
Programming & Tech,Msc,5,945.0
Music & Audio,Mmk,5,768.0
Lifestyle,Nov,9,732.0
Programming & Tech,Msc,1,872.0
Programming & Tech,Msc,2,882.0
Programming & Tech,Msc,6,579.0
Programming & Tech,Msc,0,353.0
Music & Audio,Mmk,8,1056.0
Programming & Tech,Msc,2,383.0
Programming & Tech,Msc,8,1036.0
Programming & Tech,Msc,0,467.0
Music & Audio,Mmk,1,312.0
Programming & Tech,Msc,5,189.0
Programming & Tech,Msc,1,603.0
Music & Audio,Mmk,1,464.0
Programming & Tech,SPb,8,292.0
Digital Marketing,Krsk,5,922.0
Programming & Tech,Msc,2,482.0
Programming & Tech,Msc,1,720.0
Programming & Tech,Msc,4,435.0
Writing & Translation,NNov,1,415.0
Programming & Tech,Msc,8,665.0
Programming & Tech,Msc,9,310.0
Programming & Tech,Msc,6,227.0
Video & Animation,Vlc,5,636.0
Music & Audio,Mmk,6,907.0
Writing & Translation,NNov,2,357.0
Programming & Tech,Msc,7,368.0
Programming & Tech,Msc,9,962.0
Programming & Tech,Msc,0,755.0
Programming & Tech,Msc,1,652.0
Programming & Tech,Msc,1,762.0
Video & Animation,Vlc,2,909.0
Programming & Tech,Msc,2,809.0
Programming & Tech,Msc,5,1075.0
Programming & Tech,Msc,3,126.0
Lifestyle,Nov,7,1038.0
Video & Animation,Vlc,2,645.0
Programming & Tech,Msc,0,752.0
Video & Animation,Vlc,5,801.0
Business,Nvsk,8,961.0
Video & Animation,Vlc,5,564.0
Programming & Tech,Msc,6,638.0
Digital Marketing,Krsk,0,716.0
Writing & Translation,NNov,9,1094.0
Programming & Tech,SPb,2,988.0
Music & Audio,Mmk,1,943.0
Programming & Tech,Msc,4,551.0
Programming & Tech,SPb,0,983.0
Music & Audio,Mmk,7,937.0
Programming & Tech,Msc,7,124.0
Programming & Tech,Msc,9,338.0
Programming & Tech,Msc,7,938.0
Programming & Tech,Msc,9,709.0
Programming & Tech,Msc,2,458.0
Video & Animation,Vlc,3,875.0
Programming & Tech,Msc,9,1087.0
Programming & Tech,Msc,8,646.0
Music & Audio,Mmk,4,830.0
Video & Animation,Vlc,8,693.0
Business,Nvsk,0,795.0
Programming & Tech,Msc,8,721.0
Programming & Tech,Msc,3,116.0
Business,Nvsk,2,754.0
Writing & Translation,NNov,2,943.0
Business,Nvsk,0,139.0
Programming & Tech,Msc,6,957.0
Programming & Tech,Msc,6,491.0
Business,Nvsk,7,380.0
Programming & Tech,Msc,5,712.0
Programming & Tech,Msc,1,986.0
Programming & Tech,Msc,8,128.0
Programming & Tech,Msc,8,968.0
Programming & Tech,Msc,9,617.0
Programming & Tech,Msc,5,463.0
